    xi	    yi	  phii	 delta	    xf	    yf	  phif	sucesso	passos	 err_x	 err_y	err_phi	    EE	    ET
14.7370	45.9861	235.2224	1.0000	10.8821	48.3228	86.8766	1.0000	6.0000	0.7824	0.5168	0.0347	64.8884	1.3310
22.5197	17.4168	-56.2993	1.0000	47.5149	38.8553	73.1371	1.0000	42.0000	0.0497	0.6114	0.1874	63.4761	1.2754
71.4834	99.4011	-80.9426	1.0000	72.0227	98.5590	-57.3622	1.0000	1.0000	0.4405	0.0144	1.6374	149.0056	1.0000
88.9271	88.5899	184.8119	1.0000	57.9510	95.5340	128.5354	1.0000	34.0000	0.1590	0.0447	0.4282	39.5998	1.0710
23.5906	90.7488	-42.4941	1.0000	37.9604	95.5184	62.0009	1.0000	19.0000	0.2408	0.0448	0.3111	30.8056	1.2549
59.2581	73.6159	111.3043	1.0000	52.1636	84.4618	117.6022	1.0000	13.0000	0.0433	0.1554	0.3067	31.7490	1.0031
46.2166	93.8017	219.1334	1.0000	42.5334	95.7479	104.0393	1.0000	5.0000	0.1493	0.0425	0.1560	16.4601	1.2003
40.5482	22.0704	259.9492	1.0000	36.0986	23.5387	88.0365	1.0000	7.0000	0.2780	0.7646	0.0218	77.7395	1.4939
52.5005	35.2527	228.1422	1.0000	51.6631	34.7060	213.1422	1.0000	1.0000	0.0333	0.6529	1.3682	139.3918	1.0000
80.2893	68.5984	-75.8828	1.0000	52.1185	95.6292	117.3843	1.0000	51.0000	0.0424	0.0437	0.3043	27.8117	1.3063
36.5360	80.2122	219.8022	1.0000	37.8642	95.6234	68.8393	1.0000	19.0000	0.2427	0.0438	0.2351	24.7832	1.2283
38.2248	51.4599	170.5247	1.0000	47.6635	87.0956	73.5550	1.0000	38.0000	0.0467	0.1290	0.1827	21.0337	1.0308
3.0962	87.8348	84.7306	1.0000	8.1835	95.1342	45.8388	1.0000	9.0000	0.8363	0.0487	0.4907	61.0123	1.0115
33.2170	7.9374	166.3602	1.0000	47.5933	44.9038	77.8997	1.0000	41.0000	0.0481	0.5510	0.1344	56.4606	1.0337
16.9270	48.4397	-9.8205	1.0000	47.5500	78.9698	73.2782	1.0000	48.0000	0.0490	0.2103	0.1858	26.9794	1.1100
24.2298	75.2058	-35.5771	1.0000	45.8279	95.8374	62.6957	1.0000	35.0000	0.0834	0.0416	0.3034	27.9331	1.1718
96.7693	50.8247	-72.2662	1.0000	100.2621	50.1721	25.9825	0.0000	4.0000	1.0052	0.4983	0.7113	95.4323	1.1257
32.7003	90.9841	-79.0481	1.0000	42.6012	95.4760	61.7836	1.0000	15.0000	0.1480	0.0452	0.3135	29.5190	1.3797
60.7427	7.8863	17.7131	1.0000	52.4943	25.5429	118.4181	1.0000	21.0000	0.0499	0.7446	0.3158	79.7350	1.0776
56.5499	4.4536	234.3136	1.0000	51.9640	3.7418	156.8236	1.0000	5.0000	0.0393	0.9626	0.7425	117.1960	1.0774
40.1171	78.4063	248.1068	1.0000	41.2226	95.9270	70.9018	1.0000	23.0000	0.1755	0.0407	0.2122	21.4096	1.3101
65.0061	73.4001	31.0342	1.0000	65.9357	76.1717	87.1824	1.0000	3.0000	0.3187	0.2383	0.0313	28.8040	1.0262
86.3103	38.0335	229.2898	1.0000	52.4662	49.4748	118.3756	1.0000	42.0000	0.0493	0.5053	0.3153	58.0004	1.1756
82.2783	7.3314	87.7009	1.0000	52.1331	33.0653	117.4508	1.0000	42.0000	0.0427	0.6693	0.3050	72.3764	1.0597
85.8202	75.9051	-50.4364	1.0000	57.4198	95.1459	128.5095	1.0000	45.0000	0.1484	0.0485	0.4279	39.5170	1.3118
26.6733	8.7951	237.6788	1.0000	22.5868	10.8146	93.1569	1.0000	6.0000	0.5483	0.8919	0.0351	93.3568	1.3163
66.3065	58.7274	31.0513	1.0000	67.2221	61.4969	88.1421	1.0000	3.0000	0.3444	0.3850	0.0206	42.2202	1.0285
10.6504	22.4822	109.8197	1.0000	47.6799	76.1680	72.1874	1.0000	66.0000	0.0464	0.2383	0.1979	29.8436	1.0120
91.5161	96.9100	38.1380	1.0000	91.9699	97.8011	63.0157	1.0000	1.0000	0.8394	0.0220	0.2998	49.9446	1.0000
79.5150	60.0531	269.7580	1.0000	52.4463	64.3340	118.3489	1.0000	40.0000	0.0489	0.3567	0.3150	45.6257	1.4596
20.6807	97.9791	168.3391	1.0000	19.8735	98.5695	143.8189	1.0000	1.0000	0.6025	0.0143	0.5980	61.6938	1.0000
96.6281	57.3015	39.6174	1.0000	97.0688	59.2032	89.5113	1.0000	2.0000	0.9414	0.4080	0.0054	62.2904	1.0245
19.5367	10.4210	-53.2082	1.0000	47.7292	34.0780	75.1173	1.0000	46.0000	0.0454	0.6592	0.1654	67.6193	1.2499
31.3248	58.0906	45.2003	1.0000	47.6504	87.8658	72.2826	1.0000	34.0000	0.0470	0.1213	0.1969	21.6025	1.0013
31.5634	76.9506	23.2676	1.0000	42.8048	95.7041	61.0447	1.0000	22.0000	0.1439	0.0430	0.3217	30.1435	1.0062
75.0595	69.0943	113.8459	1.0000	52.1670	93.3201	117.6156	1.0000	34.0000	0.0433	0.0668	0.3068	28.4945	1.0201
67.5583	66.1213	261.9974	1.0000	52.4550	73.1761	118.3338	1.0000	21.0000	0.0491	0.2682	0.3148	39.0941	1.2598
34.0777	90.3749	-65.9008	1.0000	43.5460	95.8010	61.8190	1.0000	14.0000	0.1291	0.0420	0.3131	29.2139	1.2829
36.5445	85.0488	6.4214	1.0000	43.6975	95.5656	61.3548	1.0000	13.0000	0.1261	0.0443	0.3183	29.6637	1.0221
9.8398	35.1980	109.3040	1.0000	47.6612	89.5467	71.8852	1.0000	67.0000	0.0468	0.1045	0.2013	21.0448	1.0119
3.8778	40.9643	-9.5970	1.0000	47.6351	74.2128	72.7600	1.0000	61.0000	0.0473	0.2579	0.1916	31.1093	1.1100
1.1078	36.8470	43.3290	1.0000	47.5426	94.6223	70.4125	1.0000	75.0000	0.0491	0.0538	0.2176	20.4604	1.0118
68.1759	87.2317	195.2871	1.0000	56.4962	95.5299	128.5095	1.0000	15.0000	0.1299	0.0447	0.4279	39.3086	1.0469
0.7781	11.8638	-67.7234	1.0000	47.6890	37.4784	74.0175	1.0000	67.0000	0.0462	0.6252	0.1776	64.5734	1.2535
36.1662	71.7794	207.5444	1.0000	33.2067	74.7206	87.4550	1.0000	5.0000	0.3359	0.2528	0.0283	30.4556	1.1983
4.8383	39.5116	-69.4681	1.0000	47.6054	63.8228	73.5251	1.0000	63.0000	0.0479	0.3618	0.1831	39.8239	1.2806
45.7654	75.3554	-25.0026	1.0000	47.7464	75.2688	4.9974	1.0000	2.0000	0.0451	0.2473	0.9445	88.5559	1.0086
73.8143	23.9105	144.6576	1.0000	52.4904	41.8394	118.4115	1.0000	29.0000	0.0498	0.5816	0.3157	64.7771	1.0409
81.3979	3.9895	125.4003	1.0000	52.2772	25.1455	118.6003	1.0000	38.0000	0.0455	0.7485	0.3178	80.1646	1.0557
58.5661	4.4691	50.3720	1.0000	52.0465	18.4012	117.1387	1.0000	16.0000	0.0409	0.8160	0.3015	86.0178	1.0402
