     x      y    phi  delta     xf     yf   phif passos Erro estacionamento Erro distancia
 86.65  68.90 -28.27   1.00  50.63 100.56 106.25  58.00 142.81   1.21
  0.90  16.91 -15.70   1.00  50.00  95.00  90.01 109.00 140.30   1.18
 90.16  70.91 -42.51   1.00  51.03 100.52 111.51  61.00 161.65   1.24
 42.52  66.14  26.06   1.00  50.08  95.50  92.40  31.00  72.94   1.02
 59.74  21.06 -21.74   1.00  50.00  95.67  90.00  80.00 134.70   1.06
 20.83  71.33   0.97   1.00  47.22 100.89  69.87  43.00  79.48   1.09
 27.00  48.18 -10.56   1.00  50.01  95.11  91.68  57.00 114.83   1.09
 35.47  63.77 179.91   1.00  44.37 100.20  72.17  39.00 114.08   1.04
 49.24  61.74  25.00   1.00  50.00  95.91  90.22  35.00  73.63   1.02
 30.25  14.18 213.96   1.00  50.00  95.75  90.03  90.00 149.68   1.07
 28.82  90.88 -49.24   1.00  41.77 100.03  61.17  20.00 111.55   1.26
 61.39  28.39  92.93   1.00  50.00  95.21  90.00  70.00  67.84   1.03
 53.89   5.22  67.35   1.00  50.00  95.66  90.00  91.00  93.32   1.01
 21.87  91.83 158.92   1.00  24.53 100.38  47.89  10.00 111.40   1.12
 11.59  35.96  20.18   1.00  49.98  95.51  90.78  78.00 100.02   1.10
 30.22  56.14 196.60   1.00  48.86 100.10  75.30  51.00 130.35   1.07
 46.99  79.12  60.76   1.00  50.21  95.66  91.48  17.00  35.04   1.01
 73.95  35.75 251.94   1.00  50.00  95.16  90.00  83.00 174.14   1.30
 75.01   1.96 181.86   1.00  50.00  95.26  90.00 108.00 133.30   1.12
 91.18  34.78 -64.34   1.00  50.00  95.07  89.97  95.00 170.71   1.30
 85.51   9.44 107.84   1.00  50.00  95.19  90.00 106.00  94.52   1.14
 91.55  52.20 -71.29   1.00  49.98  95.37  88.56  79.00 170.72   1.32
 44.09  69.12   4.10   1.00  49.98  95.17  90.87  28.00  90.79   1.05
 89.59  45.97  -6.47   1.00  50.03  95.36  90.02  77.00 115.39   1.22
 19.59  84.97 176.98   1.00  28.23 100.30  45.00  20.00 133.14   1.14
